hName,hGender,hClass,hOcc,hLoc,hActive,hID,hOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOcc,bLocale,bActive,bID,bOMID,term,preg_mo,pL,pD,pF,pS,actTitle,actDate,actYear,ActDescription,aa (Author),aaID,aaOMID,actArItem,aArItemID,ArItemOMID,rights,actID,actTitle,actOMID,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Doria,male,nobiles,,,1432–1457,929450cd-66ef-4583-82d7-930c455cca0f,38659,Margherita,,,,female,26,1431–1456,362c1598-d1c7-4e07-9f7d-764c5ec30f36,39161,Cattaneo Grimaldi,male,nobiles,,,1431–1456,14487d2b-6530-44cb-8963-707f6ae533c0,23662,3,8,170,,,,"Tommaso Duracino, filza 3, series I, nr. 6",1457-01-07,1457,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 890,d7974564-3893-43a3-b47c-d5a67e9d9411,37834,Archivio di stato di Genova,096b89d6-0ef1-48ff-b1a3-17dc69831edb,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leone Frascari,male,artefices,,,1429–1454,1d271bbd-dda4-4194-aaad-b57f5aaf0dbb,38750,Margherita,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,26,1428–1454,71b6d818-20f2-47d8-9c14-afec17c0a468,39168,Cattaneo Grimaldi,male,nobiles,,,1429–1454,14487d2b-6530-44cb-8963-707f6ae533c0,23662,,,,,150,,"Tommaso Duracino, filza 1, series II, nr. 85",1454-04-29,1454,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 888,af120abc-a312-41b7-8b93-49985584cbe0,26211,Archivio di stato di Genova,0254caac-902f-4bb6-9830-b2b66b8017b3,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melchiorre de Insula,male,mercantes,,,1432–1457,e04e64d8-bf42-452e-a6d7-4a7aa2edbd54,38609,Maria,,,,female,20,1437–1457,3ca77504-d282-4133-8323-38ab6261a773,39195,Cattaneo Grimaldi,male,nobiles,,,1432–1457,14487d2b-6530-44cb-8963-707f6ae533c0,23662,7,4,200,,,,"Tommaso Duracino, filza 3, series I, nr. 115",1457-04-08,1457,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 890,d7974564-3893-43a3-b47c-d5a67e9d9411,37834,Archivio di stato di Genova,5b42d698-667e-46db-95a8-44e1076938d9,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giorgio ---,male,,,,1406–1431,ecc4815f-1626-4e8c-b3f1-6ee421cb4046,38727,Cali,,,,female,32,1399–1431,9fb0be71-9087-4630-9aef-36510b8a5a80,39137,Giovanni Grimaldi,male,nobiles,,,1406–1431,759b9b55-5e60-4fd1-a975-13ae1beaa0d0,23681,,6,,100,,,"Branca Bagnara, filza 19, series III, nr. 72b",1431-04-04,1431,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 666,fd5f6c32-135f-49d1-9949-eaa0f7d6679a,39289,Archivio di stato di Genova,43128289-8c14-4c8d-8d7b-350968642855,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni de Gibeleone,male,foreign,,27638,1431–1456,feb66353-0609-484f-826b-271b277ead07,38658,an unnamed enslaved man,,,,male,,–1456,35528368-8a5b-4572-97b2-3fd7dca70b4b,39143|39144,Giovanni Grimaldi,male,nobiles,,,1431–1456,57450bfa-be0c-4080-94a3-5ac616e65318,23682,,,150,,,,"Tommaso Duracino, filza 2, series II, nr. 170",1456-06-24,1456,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 889,101c0bd8-a7ea-41d9-b9dc-62f2509bd4ac,37833,Archivio di stato di Genova,63acc6b9-26f9-4f7c-af79-50009e1ed673,Asecuratio,,,,,,,,,,,,,,,,,,,,,,,,,,,
an unnamed buyer,,,,,1405–1430,ebe34db5-5499-4edf-92a1-17f51bb45a85,38665,an unnamed enslaved woman,,,,female,,–1430,32268e7f-8cac-4c99-a738-50f3508a6f80,39032,Antoniotto Ittaliano,male,nobiles,,,1405–1430,8828edf3-6b30-416f-9a34-3ebd521d2842,23751,,,,,,,"Branca Bagnara, filza 1, series II, item dated 1430-02-21",1430-02-21,1430,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 648,11d750e8-849d-41ba-8684-a00ff903457b,37813,Archivio di stato di Genova,076e307c-0258-44e7-a432-3488556862c9,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterina Fracca,female,artefices,,,1404–1429,0fa540e1-6d29-4f38-a297-73b2c2b4b1fd,38652,an unnamed enslaved woman,,,,female,,–1429,9ec917ce-ef5b-450c-9efa-c771d39e028f,39092,Antoniotto Ittaliano,male,nobiles,,,1405–1430,8828edf3-6b30-416f-9a34-3ebd521d2842,23751,,,120,,,,"Branca Bagnara, filza 1, series II, item dated 1429-05-14",1429-05-14,1429,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 648,11d750e8-849d-41ba-8684-a00ff903457b,37813,Archivio di stato di Genova,0c2de035-41c4-4f22-b27a-37f44f7c11f5,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterina Fracca,female,artefices,,,1404–1429,0fa540e1-6d29-4f38-a297-73b2c2b4b1fd,38652,an unnamed enslaved woman,,,,female,,–1429,da80aee8-920e-4184-a0ad-73e92f855880,39093,Antoniotto Ittaliano,male,nobiles,,,1405–1430,8828edf3-6b30-416f-9a34-3ebd521d2842,23751,,,120,,,,"Branca Bagnara, filza 1, series II, item dated 1429-07-12",1429-07-12,1429,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 648,11d750e8-849d-41ba-8684-a00ff903457b,37813,Archivio di stato di Genova,ce818179-fac0-4602-98fd-cfa6eaa64216,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filippo Grimaldi,male,nobiles,,,1403–1428,a4cb3453-803b-4a40-93a3-e51be18da9a6,38714,an unnamed enslaved woman,,,,female,,–1428,575d3c29-461d-4492-a5e1-6faeaf87982c,39112,Antoniotto Ittaliano,male,nobiles,,,1405–1430,8828edf3-6b30-416f-9a34-3ebd521d2842,23751,,,120,,,,"Branca Bagnara, filza 1, series I, item dated 1428-11-03",1428-11-03,1428,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 648,11d750e8-849d-41ba-8684-a00ff903457b,37813,Archivio di stato di Genova,2050ee9a-dd05-4be3-8b7c-304cb0b7e5ec,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Balbi,female,artefices,,,1404–1429,1f8a6ae6-f619-47f3-b50a-5cc137b2ef38,38758,an unnamed enslaved woman,,,,female,,–1429,b2be7923-1198-4c96-9175-77a048c6bebc,39183,Antoniotto Ittaliano,male,nobiles,,,1405–1430,8828edf3-6b30-416f-9a34-3ebd521d2842,23751,,,120,,,,"Branca Bagnara, filza 1, series II, item dated 1429-04-12",1429-04-12,1429,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 648,11d750e8-849d-41ba-8684-a00ff903457b,37813,Archivio di stato di Genova,97a7e4ba-6ee3-4622-ae0d-b82ead378d10,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
