nodeID,nodeName,nodeDescription
c048298f-787d-4f09-a36b-ba27802d33d1,sale,"Pietro Battista Lomellini sells 14 pieces of black velvet to Isacco, son of the late David and banker in Verona, for 1 gold ""scudo per palmo uno et tribus quartis partibus alterius parmi mensura Januae."" Isacco swears ""per Deum Omnipotentem et per legam datam Moisi in Monte Sinay."""
ce86109e-6199-41d2-8313-8f712d9a210f,will,"Will and testament of Giovanni Battista Doria q. Agostino. He nominates his wife Maria as executor. The heirs are his children. Beneficiaries are Domenico Lercari q. Simone, his brother Geronimo Doria, Giacomo Lomellini q. Filippo, and Filippo Lomellini di Ambrogio."
7a58408a-ff07-48d6-9d03-f33e3fce7937,will,"Will and testament of Domenico Camilla q. Enrico. Buried at Castello. He nominates his wife Maria (Mariettina), his daughters Caterina and Pelotta from his first wife q. Bigotta, his nephew Tedisio Camilla, his second wife Geronima Spinola q. Bartolomeo de Ronco, Maria (Mariola) Camilla q. Enrico wife of q. Battista Oliva Grimaldi as executors. The heirs are his sons Niccolò and Enrico Camilla. Beneficiaries (fedeicommissarii) are Giacomo Ittaliano q. Benedetto, Agostino Camilla q. Tedisio, and in his absence his brother Giovanni, Giovanni Battista Gentile q. Paolo, and his sons."
4aa3472f-8c03-4188-923f-fb5c572082bc,manumission,"Clara Ittaliano, wife of Pietro de Fornari, frees the Russian slave Marta (age not indicated). A transcription of this deed is contained in Tria."
