id,family id,parent id,1st last name,2nd last name,first name,middle name,Formalized name,full name,birth_place,occupation,Birth_year,death_year,partner first name,parner 1st last name,partner 2nd last name,partner id,statement,Column1
SP26SP001870,,,Vásquez,,Benito,,Benito  Vásquez ,Benito Vasquez,,merchants,0,0,,,,,merchant of damascus silk,
SP26SP001872,,,Gómez,Torres,Ana,,Ana  Gómez Torres,Ana Gomez de Torres,,,0,0,Pedro,Fernández,Brea,SP26SP001873,neighbour jerez,
SP26SP001873,,,Fernández,Brea,Pedro,,Pedro  Fernández Brea,Pedro Fernandez de Brea,,,0,0,Ana,Gómez,Torres,SP26SP001872,neighbour jerez,
SP26SP001874,,,Rueda,,Luis,,Luis  Rueda ,Luis de Rueda,,shoemakers,0,0,,,,,neighbour jerez,
SP26SP001875,,,Riquel,León,Juan,,Juan  Riquel León,Juan Riquel de Leon,,transport,0,0,,,,,neighbour Jerez collacion santiago,
SP26SP001876,,,López,Oliva,Antonio,,Antonio  López Oliva,Antonio Lopez de Oliva,,public officers,0,0,,,,,neighbour Jerez collacion san miguel,
SP26SP001877,,,Taregano,,Juan,,Juan  Taregano ,Juan de Taregano,,,0,0,,,,,neighbour Jerez collacion salvador,
SP26SP001956,,,Ponçe,,Pedro,,Pedro  Ponçe ,Pedro Ponçe,,drapers,0,0,,,,,colchero neighbour Jerez,
SP26SP001957,,,Suárez,,Pedro,,Pedro  Suárez ,Pedro Suares,,,0,0,,,,,Alferez neighbour Jerez,
SP26SP001958,,,Cea,,Alonso,,Alonso  Cea ,Alonso de Çea,,,0,0,,,,,"neighbour Jerez, renter of salvagina",
SP26SP001959,,,Rota,,Juan,Batista,Juan Batista Rota ,Juan Batista de Rota,,,0,0,,,,,neighbour Jerez collacion salvador,
SP26SP001960,,,Martínez,Moron,Juan,,Juan  Martínez Moron,Juan Martínez de Moron,,,0,0,,,,,neighbour Laredo,
SP26SP002007,,,Jerez,,Nicolas,,Nicolas  Jerez ,Nicolas de Jerez,,merchants,0,0,,,,,neighbour Seville collacion santa catalina,
SP27SP000001,,,Gallego,,Antnio,,Antnio  Gallego ,Antonio Gallego,,,0,0,,,,,secretary of the duke of medinasidonia,
SP27SP000002,,,Martínez,,Juan,,Juan  Martínez ,Juan Martínez,,merchants,0,0,,,,,neighbour Sanlúcar de Barrameda,
SP27SP000069,,,Sanlúcar,,Juan,,Juan  Sanlúcar ,Juan de Sanlúcar,,agents,0,0,,,,,"Neighbour Sanlúcar de Barrameda, representative of Francisco de Rivarol in that city",
SP27SP000080,,,Guerra,,Marquo,,Marquo  Guerra ,Marquo de Guerra,,merchants,0,0,,,,,"Sanlúcar de Barrameda, partner with Sebastian Doria and bartolomeo di Negro",
SP27SP000243,,,Caballero,,Fernando,,Fernando  Caballero ,Fernando Caballero,,,0,0,,,,,"Neighbour of Sanlúcar, owes money to the centurione",
SP27SP000244,,,Sanlúcar,,Fernando,,Fernando  Sanlúcar ,Fernando de Sanlúcar,,,0,0,,,,,"Neighbour of Sanlúcar, owes money to the centurione",
SP27SP000350,,,Lugo,,Leonor,,Leonor  Lugo ,Leonor de Lugo,,,0,0,Jacome,Dianti,,FL0005,wife of Jacome Dianti (florentine) neighbour of Sanlúcar,
SP27SP000503,,,Gueldo,,Pedro,,Pedro  Gueldo ,Pedro Gueldo,,maritime pilots,0,0,,,,,nao santiago,
SP27SP001155,,,Mendoza,,Cristóbal,,Cristóbal  Mendoza ,Cristóbal Mendoza,,farmers,0,0,,,,,neighbour Sanlúcar de Barrameda,
SP27SP001174,,,Izquierdo,,Gonzalo,,Gonzalo  Izquierdo ,Gonzalo Izquerdo,,,0,0,,,,,neighbour Sanlúcar de Barrameda,
SP27SP001175,,,Angues,,Juan,,Juan  Angues ,Juan de Agues,,,0,0,,,,,neighbour Sanlúcar de Barrameda,
SP27SP001176,,,Morales,,Juan,,Juan  Morales ,Juan de Moreales,,,0,0,,,,,neighbour Sanlúcar de Barrameda,
SP27SP001187,,,Manuel,,Alonso,,Alonso  Manuel ,Alonso Manuel,,,0,0,,,,,neighbour Sanlúcar de Barrameda,
SP27SP001407,,,Martínez,Villarin,Alonso,,Alonso  Martínez Villarin,Alonso Martinez de Villarin,,maritime pilots,0,0,,,,,neighbour Sanlúcar de barrameda nao Sanlúcar de barrameda,
SP27SP001421,,,Pérez,Cea,Juan,,Juan  Pérez Cea,Juan Pérez,,merchants,0,0,,,,,neighbour Sanlúcar de barrameda owener of the nao san anton de buenaventura,
SP27SP001685,,,Pardo,,Luis,,Luis  Pardo ,Luis Pardo,,,0,0,,,,,neighbour Sanlúcar de Barrameda,
SP27SP001686,,,Castro,,Juan,,Juan  Castro ,Juan de Castro,,,0,0,,,,,neighbour Sanlúcar de Barrameda,
SP27SP001747,,,Sánchez,,Gonzalo,,Gonzalo  Sánchez ,Gonzalo Sánchez,,,0,0,,,,,neighbour Sanlúcar de Barrameda,
SP28SP000001,,,Llerena,,Juan,,Juan  Llerena ,Juan de Llerena,28SP,merchants,1494,0,,,,,"Merchant from Burgos, brother of Garcia de llerena, e in Santiago de Cuba - date of birth is estimated",
SP28SP000002,,,Castillo,,Bernardino,,Bernardino  Castillo ,Bernardino del Castillo,28SP,merchants,0,0,,,,,"Merchant from Burgos, with bussiness in Cuba and Seville",
SP28SP000117,,,Ribera,,Diego,,Diego  Ribera ,Diego de Ribera,,,0,0,,,,,"Burgos' alcaide son,",
SP28SP000337,,,Villasante,,Martín,,Martín  Villasante ,Martín de Villasante,,merchants,0,0,,,,,Burgales,
SP28SP000480,,,Nájera,,Juan,,Juan  Nájera ,Juan de Nájera,,merchants,0,0,,,,,factor de los pardos de burgos,
SP28SP000531,,,Fernández,Soria,Diego,,Diego  Fernández Soria,Luis Fernández de Soria,,merchants,0,0,,,,,receptores y depositarios de las bulas de la Santa Indulgencia de Canaria,
SP28SP001194,,,Ramírez,Burgos,Juan,,Juan  Ramírez Burgos,Juan Ramírez de Burgos,,merchants,0,0,,,,,Estante in castile,
SP28SP001645,,,Arango,,Francisco,,Francisco  Arango ,Francisco de Arango,28SP,bankers,0,0,,,,,banker from burgos insurer of genoese ships,
SP28SP001704,,,Jaymes,,Diego,28SP,Diego 28SP Jaymes ,Diego Jaymes,,merchants,0,0,,,,,burgales,
SP28SP001866,,,López,Trujillo,Diego,,Diego  López Trujillo,Diego López de Trujillo,,,0,0,,,,,"neighbour Guadix, corregidor de guadix",
SP29SP000341,,,Ávalos,,Rodrigo,,Rodrigo  Ávalos ,Rodrigo Ávalos,,Inquisitor,0,0,,,,,inquisidor provincia de leon,
SP30SP000163,,SP30SP000164,López,Farfán,Juan,,Juan  López Farfán,Juan López Farfán,,landowner,0,0,,,,,soneighbour Antón Farfán (one of the conquistadores of gran canary).,
SP30SP000164,,,Farfán,,Antón,,Antón  Farfán ,Antón Farfán,,conquistadors,0,0,,,,,conquistador of the canary and father of juan lópez farfán,
SP30SP000165,,SP30SP000164,Farfán,,Catalina,,Catalina  Farfán ,Catalina Farfán,,,0,0,,,,,"sister to Juan López Farfán, daughter to Antón Farfán",
SP31SP000114,,,Ruiz,Tarifa,Gonzalo,,Gonzalo  Ruiz Tarifa,Gonzalo Ruiz de Tarifa,,,0,0,,,,,"Neighbour of Malaga, Arrendador",
SP31SP000415,,,Vázquez,,Rodrigo,,Rodrigo  Vázquez ,Rodrigo Vázquez,,,0,0,,,,,neighbour of malaga brother in love with Alonso de Montalbán and part of the Rivarolo circuit,
