Person who is the slaveholder (purchaser of insurance),,,,,,,,,The enslaved man or woman,,,,,,,,,The person who is underwriting the enslaved man or woman,,,,,,,,The terms of the contract,,,,,,Contract identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hName,hGender,hClass,hActing,hOcc,hLoc,hActive,hID,hOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOcc,bLocale,bActive,bID,bOMID,term,preg_mo,pL,pD,pF,pS,actTitle,actDate,actYear,ActDescription,aa (Author),aaID,aaOMID,actArItem,aArItemID,ArItemOMID,rights,actID,actOMID,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartolomea Centurione,female,nobiles,widow,,,1430–1455,df978239-8070-4eea-af2e-43ec5a241720,38679,Anna,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,29,1426–1455,95465849-19c2-4ad8-9c13-d2dd917f6ea0,39058,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,4,7,180,,,,"Tommaso Duracino, filza 2, series I, nr. 352",1455-11-05,1455,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 889,101c0bd8-a7ea-41d9-b9dc-62f2509bd4ac,37833,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobietta Spinola,female,nobiles,widow,,,1456–1481,ecc38f4e-c915-4dc2-b4ae-a8e027725554,38794,Melica,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,female,27,1454–1481,70580ed3-4107-4f37-833b-c110c0924e76,39248,Giovanni de Marini,male,nobiles,,,1456–1481,4953ab7e-40b5-41d5-ac0b-d4f8cddf4de1,25308,4,7,200,,,,"Tommaso Duracino, filza 23, series II, nr. 122",1481-03-05,1481,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 910,92178dce-9229-479d-8bcf-adf522cd5e8e,37850,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria de Mari,female,nobiles,widow,,,1432–1457,8722d3d1-a653-4c3c-a58f-8b8ba86e41a0,38760,Maddalena,,,,female,35,1422–1457,f5030f7e-138c-4923-8b10-6a847e6386e0,39185,Andrea Castagna,male,nobiles,,,1432–1457,bb64fc73-f6c9-4c4f-b778-43e2656e23d1,39259,3,8,150,,,,"Tommaso Duracino, filza 3, series I, nr. 254",1457-09-12,1457,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 890,d7974564-3893-43a3-b47c-d5a67e9d9411,37834,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caracosa Malocello,female,nobiles,widow,,,1434–1459,f9f2767d-d6a3-41c5-b9b1-189d1b670cfa,38698,Marta,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,33,1426–1459,4f107bd4-725d-4a1d-bdb7-62383cd7360d,39088,Gaspare Spinola,male,nobiles,,,1434–1459,86a87e41-42a7-400c-a85f-d6123f219ce9,30363,3,9,150,,,,"Tommaso Duracino, filza 4, nr. 360",1459-07-04,1459,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 891,d9596fa2-5eb7-4ad3-90c3-3f78583e00e6,37835,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pellegrina Cattaneo,female,nobiles,widow,,,1434–1459,7daf0f91-f497-4dbf-a5d1-56722dc8f8fd,38778,Nestasia,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,27,1432–1459,c52d3c1f-2236-4db6-9177-5b8c6daa9cb2,39211,Demetrio Fieschi,male,nobiles,,,1434–1459,a74513d2-3ff9-41bd-b8d4-b033f9db7dd2,39266,3,8,150,,,,"Tommaso Duracino, filza 4, nr. 489",1459-09-29,1459,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 891,d9596fa2-5eb7-4ad3-90c3-3f78583e00e6,37835,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterina di Negro,female,nobiles,widow,,,1436–1461,a09760e5-15d3-466d-b707-eb5c8683a3ef,38701,Anna,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,25,1436–1461,15dd4c38-4bca-41de-936d-749b451f1a17,39091,Tommaso Sofia,male,mercantes,,,1436–1461,fa517609-4ecf-46c0-9bbb-2b513345d1ac,39282,4,7,150,,,,"Tommaso Duracino, filza 6, series I, nr. 357",1461-10-14,1461,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 893,b4ce29bc-1c24-4f02-bd03-22ab84e5a8f1,37837,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bianchina Spinola,female,nobiles,widow,,,1439–1464,6abc65ed-9f88-424d-a7e1-39650334ca14,38695,Maddalena,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,20,1444–1464,971ef7f8-1e16-428e-9d7a-a2f90f5f8147,39084,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,3,8,200,,,,"Tommaso Duracino, filza 7, series II, nr. 320",1464-11-13,1464,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 894,a94058bf-7e65-489c-b6f0-8e5c16d11516,37838,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigida Cibo,female,nobiles,widow,,,1440–1465,9b79babc-7952-443c-86c2-ad36a0f7d3e6,38696,Caterina,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,29,1436–1465,b9fb44cd-74d8-41b0-9181-893402dd33e0,39086,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,4.5,7,150,,,,"Tommaso Duracino, filza 8, nr. 602",1465-11-04,1465,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 895,15625c91-55bf-493d-8d7e-8257de7905ed,37076,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Balbi,female,artefices,,,,1404–1429,1f8a6ae6-f619-47f3-b50a-5cc137b2ef38,38758,an unnamed enslaved woman,,,,female,,–1429,b2be7923-1198-4c96-9175-77a048c6bebc,39183,Antoniotto Ittaliano,male,nobiles,,,1405–1430,8828edf3-6b30-416f-9a34-3ebd521d2842,23751,,,120,,,,"Branca Bagnara, filza 1, series II, item dated 1429-04-12",1429-04-12,1429,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 648,11d750e8-849d-41ba-8684-a00ff903457b,37813,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caracosa Canicia,female,artefices,,,,1416–1441,608e05c4-add4-4d8e-b646-e4c7383e4f47,38697,Lucia,,,,female,24,1417–1441,e0fecd5f-ee29-46b6-93d4-8679c51c996c,39087,Pellegro Sucha,male,foreign,,,1416–1441,25af7f72-36d3-41c0-b28f-a91d032c9e80,38640,,,150,,,,"Branca Bagnara, filza 6, series II, nr. 288",1441-12-02,1441,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 653,4b3a98d6-378e-4228-8350-e7e1e0da1b40,39288,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
