Person who is the slaveholder (purchaser of insurance),,,,,,,,,The enslaved man or woman,,,,,,,,,The person who is underwriting the enslaved man or woman,,,,,,,,The terms of the contract,,,,,,Contract identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hName,hGender,hClass,hActing,hOcc,hLoc,hActive,hID,hOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOcc,bLocale,bActive,bID,bOMID,term,preg_mo,pL,pD,pF,pS,actTitle,actDate,actYear,ActDescription,aa (Author),aaID,aaOMID,actArItem,aArItemID,ArItemOMID,rights,actID,actOMID,,,,,,,,,,,,,,,,,,,,,,,,,,
Bianchina de Ponte,female,artefices,,,,1429–1454,855a29d4-d0f9-41d8-9773-3e2685cd9778,38651,Margherita,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,30,1424–1454,a64978c7-9d10-457a-91a3-c9f53951fb3b,39083,Lodisio Negrone,male,nobiles,,,1429–1454,67ce63af-5424-4ee0-8564-a5a0dddd0b28,27191,,,100,,,,"Tommaso Duracino, filza 1, series II, nr. 102",1454-06-01,1454,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 888,af120abc-a312-41b7-8b93-49985584cbe0,26211,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bianchina de Ponte,female,artefices,,,,1429–1454,855a29d4-d0f9-41d8-9773-3e2685cd9778,38651,Margherita,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,30,1424–1454,e6869ca2-ef05-4688-969c-aac5823e77cb,39082,Anfreone Spinola,male,nobiles,,,1429–1454,54d35a84-b614-45e2-a73a-46415d2b0a99,38624,,,100,,,,"Tommaso Duracino, filza 1, series II, nr. 102",1454-06-01,1454,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 888,af120abc-a312-41b7-8b93-49985584cbe0,26211,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selvagia de Monelia,female,artefices,,,27591,1436–1461,dd72fe2a-553b-4f45-a61c-0c28e66313a7,38661,Iarchasia,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,25,1436–1461,7af3d90c-00d7-4cec-aa82-e2b1adcf37cd,39232,Battista Spinola,male,nobiles,,,1436–1461,f3b19686-f72e-4be0-8bf5-8ee02dcda3ba,25620,3,,,,200,,"Tommaso Duracino, filza 6, series I, nr. 293",1461-09-05,1461,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 893,b4ce29bc-1c24-4f02-bd03-22ab84e5a8f1,37837,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarinetta de Riccobono,female,mercantes,,,,1454–1479,5e3e36de-d430-4bb9-8875-b445c8eb1eea,38699,Maria,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,25,1454–1479,45342e75-6313-43ea-86cd-3ce032ef72ee,39089,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,,,250,,,,"Tommaso Duracino, filza 22, nr. 96",1479-02-15,1479,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 909,537f9c84-03f6-4414-97b3-bde8270f47a0,37849,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Negrone,female,nobiles,,,,1415–1440,0e7bb0e8-27ef-4fdc-918c-041d6ba459b6,38761,Lucia,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,30,1410–1440,6ddf7a0b-296f-4809-ad6d-97cad7205fce,39188,Pellegro Sucha,male,foreign,,,1415–1440,25af7f72-36d3-41c0-b28f-a91d032c9e80,38640,,,150,,,,"Branca Bagnara, filza 6, series I, nr. 161",1440-07-15,1440,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 653,4b3a98d6-378e-4228-8350-e7e1e0da1b40,39288,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Lomellini,female,nobiles,,,,1415–1440,18cfbddf-3826-4ef7-b367-a04e67cc325d,24787,Lucia,,,,female,20,1420–1440,ca82601d-d2c6-4f04-af15-490b90e35301,39187,Pellegro Sucha,male,foreign,,,1415–1440,25af7f72-36d3-41c0-b28f-a91d032c9e80,38640,,,187.5,,,,"Branca Bagnara, filza 6, series I, nr. 22",1440-02-06,1440,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 653,4b3a98d6-378e-4228-8350-e7e1e0da1b40,39288,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margarita Lercari,female,nobiles,,,,1467–1492,9341d325-0cc1-402f-99f5-bd91601f973f,38757,Maddalena,Moorish,04348640-60da-4bab-811c-6f34b0aef7a27,31559,female,15,1477–1492,e6a05801-02a9-4cce-be60-a7ca62bb6db9,39182,Marcello Galliano,male,,,,1467–1492,dcd57e09-fd4c-40bd-9143-ba694dac7158,39278,,,200,,,,"Lorenzo Costa, filza 15, nr. 309",1492-12-05,1492,,Lorenzo Costa,114bb456-e4db-42db-a1d0-8e66f53996b4,23313,Notai antichi 1001,ea56ef33-72d7-4a29-a4da-d49cf9a822ad,37740,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isabella Spinola,female,nobiles,,,,1457–1482,8cf79e67-21f3-4bf5-8eb4-e880b32e77c2,38746,Caterina,Moorish,04348640-60da-4bab-811c-6f34b0aef7a27,31559,female,20,1462–1482,d1da269c-eed6-4a73-9450-05e5bcd88902,39164,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,,,200,,,,"Tommaso Duracino, filza 24, series I, nr. 263",1482-06-02,1482,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 911,f8e745d3-fa92-47b2-b488-6662ee0e5a8b,39294,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bianca Gentile,female,nobiles,,,,1432–1457,adb4b6fa-01c7-47a8-8d43-54d977954bb5,38694,Maria,,,,female,33,1424–1457,89318c0e-0289-43a0-b932-05aca4b1da58,39081,Giovanni di Negro,male,nobiles,,,1432–1457,89a65e61-2ca4-4cd5-b80a-b9573d3b0b5e,38632,3,8,170,,,,"Tommaso Duracino, filza 3, series I, nr. 89",1457-03-15,1457,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 890,d7974564-3893-43a3-b47c-d5a67e9d9411,37834,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marina de Marini,female,nobiles,,,,1437–1462,6a3cba5a-53b4-4fa0-bb90-da2a9d4e2f34,38762,Margherita,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,29,1433–1462,b5ddeb23-3bc5-4644-a32e-f485d9411d30,39189,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,,,200,,,,"Tommaso Duracino, filza 6, series II, nr. 84",1462-04-15,1462,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 893,b4ce29bc-1c24-4f02-bd03-22ab84e5a8f1,37837,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterina Fracca,female,,,,,1404–1429,0fa540e1-6d29-4f38-a297-73b2c2b4b1fd,38652,an unnamed enslaved woman,,,,female,,–1429,9ec917ce-ef5b-450c-9efa-c771d39e028f,39092,Antoniotto Ittaliano,male,nobiles,,,1405–1430,8828edf3-6b30-416f-9a34-3ebd521d2842,23751,,,120,,,,"Branca Bagnara, filza 1, series II, item dated 1429-05-14",1429-05-14,1429,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 648,11d750e8-849d-41ba-8684-a00ff903457b,37813,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterina Fracca,female,,,,,1404–1429,0fa540e1-6d29-4f38-a297-73b2c2b4b1fd,38652,an unnamed enslaved woman,,,,female,,–1429,da80aee8-920e-4184-a0ad-73e92f855880,39093,Antoniotto Ittaliano,male,nobiles,,,1405–1430,8828edf3-6b30-416f-9a34-3ebd521d2842,23751,,,120,,,,"Branca Bagnara, filza 1, series II, item dated 1429-07-12",1429-07-12,1429,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 648,11d750e8-849d-41ba-8684-a00ff903457b,37813,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manferda, the wife of the deceased Giovanni Oliverio",female,,,,,1406–1431,a0af1929-d873-46a1-af74-0d19cc8628bd,38754,Caterina,,,,female,22,1409–1431,31de5acf-ebba-41f0-89a9-7c6f341ff037,39177,Bartolomeo Cattaneo,male,nobiles,,,1406–1431,6269ce4d-7a40-46a9-b4f4-8b9f56f69004,26638,7,5,,,100,,"Branca Bagnara, register 4, 1429–1431, fol. 331r",1431-12-08,1431,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 509,693f2d6d-07cc-4316-a10f-f4fba65a8067,39286,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peretta Arbicone,female,,,,,1452–1477,324c9db2-3931-438a-a40d-296d95084142,38779,Margherita,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,32,1445–1477,b3b36868-34cd-4b63-9f9f-2862e1a5a88e,39214,Giovanni de Marini,male,nobiles,,,1452–1477,4953ab7e-40b5-41d5-ac0b-d4f8cddf4de1,25308,5,6,150,,,,"Tommaso Duracino, filza 20, nr. 407",1477-08-04,1477,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 907,2260d938-eb32-478e-a127-fac48683ed59,37847,Archivio di stato di Genova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
