Person who is naming the procurator to sell enslaved men and women,,,,,,,,The enslaved man or woman,,,,,,,,,The person who is named as procurator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sName,sGender,sClass,sOccupaton,sLocale,sActive,sID,sOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOccupation,bLocale,bActive,bID,bOMID,pL,pD,pF,pS,actTitle,actDate,aYear,actPlace,actAuthor (aa),aaID,aaOMID,rights,actID,actOMID,,,,,,,,
Benedetto Boilo,male,artefices,confector,,1391–1416,38ba3177-8024-486c-b232-2bb016e868ab,26717,an unnamed Tartaran woman,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd143,26258,female,,–1416,1f652d03-c95b-40fe-b240-15e72a3c284c,35840,,,,,,,,,,,,,"Giuliano Canella, register 5, 1415–1417, fol. 165v",1416-07-04,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,952d7eb7-1c8f-47fb-98bc-ebc84f57bda5,36552,,,,,,,,
Benedetto Boilo,male,artefices,confector,,1391–1416,f6860cea-996f-411e-bcb7-476aaa14108c,26718,an unnamed Tartaran man,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd144,26258,male,,–1416,a8513e5d-482c-439e-8d75-b9b5c7782146,35841,,,,,,,,,,,,,"Giuliano Canella, register 5, 1415–1417, fol. 165v",1416-07-04,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,dde6a2c6-e0e8-4c31-b13d-5d51f06ee051,36552,,,,,,,,
Benedetto Boilo,male,artefices,confector,,1391–1416,7c09a6fb-598a-474a-b602-65abcd35a91d,26719,an unnamed Tartaran child,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd145,26258,,,–1416,5cf88c09-d3e5-4fd0-b90a-ad9610ab28ad,35842,,,,,,,,,,,,,"Giuliano Canella, register 5, 1415–1417, fol. 165v",1416-07-04,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,4e40e375-2b81-419f-9037-d6d5ae3f2dce,36552,,,,,,,,
Benedetto Boilo,male,artefices,confector,,1391–1416,d719c15c-7ab1-49c1-adb8-17dc5012e7ec,26720,an unnamed Tartaran child,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd146,26258,,,–1416,6a70ce10-e748-4a72-8274-7e79db6bad8e,35843,,,,,,,,,,,,,"Giuliano Canella, register 5, 1415–1417, fol. 165v",1416-07-06,1416,Genoa,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Archivio di stato di Genova,2546119b-2fb5-4861-b3ae-7f8bbc0415f4,36552,,,,,,,,
