"The Bosnian Maria, “olim serva” of Gregorio de Franchis Sacco, makes her testament. She was freed in the act of Giovanni Costa, filza 2, item dated 1498-10-05.",,,,,1520,,,"The Bosnian Maria, “olim serva” of Gregorio de Franchis Sacco, makes her testament. She was freed in the act of Giovanni Costa, filza 2, item dated 1498-10-05.",,,,,1520,,,,,,,,,"Cristoforo Rollero, filza 7, nr. 313",1520-09-18,1520,"The Bosnian Maria, “olim serva” of Gregorio de Franchis Sacco, makes her testament. She was freed in the act of Giovanni Costa, filza 2, item dated 1498-10-05.","Rollero, Cristoforo",,,Notai antichi 1214,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,
"The Circassian slave Maria, whose age is not given, is freed ""con sentenza dei Sindacatori""",,,,,1480,,,"The Circassian slave Maria, whose age is not given, is freed ""con sentenza dei Sindacatori""",,,,,1480,,,,,,,"Girolamo Loggia, filza 2, series I, nr. 247",1480,1480,"The Circassian slave Maria, whose age is not given, is freed ""con sentenza dei Sindacatori""","Loggia, Girolamo",,,Notai antichi 1122,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The former Mingrelian slave Caterina, whose age is not given, already freed with conditions by Raffaele de Salvo, has her appeal rejected by the Sindicatori. The date is tentative.",,,,,1479,,,"The former Mingrelian slave Caterina, whose age is not given, already freed with conditions by a certain Raffaele de Salvo, has her appeal rejected by the Sindicatori. The date is tentative.",,,,,1479,,,,,,,"Girolamo Loggia, filza 2, series I, nr. 72 *",1479-04-30,1479,"The former Mingrelian slave Caterina, whose age is not given, already freed with conditions by a certain Raffaele de Salvo, has her appeal rejected by the Sindicatori. The date is tentative.","Loggia, Girolamo",,,Notai antichi 1122,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Greek slave Caterina, who is 26 years of age, having been declared free, undertakes to pay Mariolina Calvi, her former mistress, 42 lire.",,,,,1482,,,"The Greek slave Caterina, who is 26 years of age, having been declared free, undertakes to pay Mariolina Calvi, her former mistress, 42 lire.",,,,,1482,,,,,,,"Niccolò Raggi, filza 12, nr. 620",1482,1482,"The Greek slave Caterina, who is 26 years of age, having been declared free, undertakes to pay Mariolina Calvi, her former mistress, 42 lire.","Raggi, Niccolò",,,Notai antichi 1028,,,,,,Franchixia sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Moorish slave Francesco,,,,,1484,,,The Moorish slave Francesco frees himself from the obligation to serve Bartolomeo Calvi for three years by paying him 70 lire.,,,,,1484,,,,,,,"Niccolò Raggi, filza 14, nr. 812",1484,1484,The Moorish slave Francesco frees himself from the obligation to serve Bartolomeo Calvi for three years by paying him 70 lire.,"Raggi, Niccolò",,,Notai antichi 1028b,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The nuns of the ""Monastero dei Santi Giacomo e Filippo"" approve the marriage of the Tartaran slave Margherita, who is 28 years of age, with Giovanni, slave of Luciano Imperiale, and free her.",,,,,1383,,,"The nuns of the ""Monastero dei Santi Giacomo e Filippo"" approve the marriage of the Tartaran slave Margherita, who is 28 years of age, with Giovanni, slave of Luciano Imperiale, and free her.",,,,female,1383,,,,,,,"Guirardo Parisola, register 3, 1382–1383, fol. 9r",1383-01-13,1383,"The nuns of the ""Monastero dei Santi Giacomo e Filippo"" approve the marriage of the Tartaran slave Margherita, who is 28 years of age, with Giovanni, slave of Luciano Imperiale, and free her.","Parisola, Guirardo",,,Notai antichi 409,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,,,
This relates to the loss of some slaves in Caffa.,,,,,1474,,,This relates to the loss of some slaves in Caffa.,,,,,1474,,,,,,,"Lorenzo Danove, filza 1, nr. 110",1474-08-06,1474,This relates to the loss of some slaves in Caffa.,"Danove, Lorenzo",,,Notai antichi 1092,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Greek slave Elena, who is --- years of age, having been declared free by Girolamo de Camulio, the bishop of Chios, on account of being a Christian, promises to serve Nicola Picaluga for 5 years in return for the ransom he paid for her freedom.",,,,,1486,,,"The Greek slave Elena, who is --- years of age, having been declared free by a certain Girolamo de Camulio, the bishop of Chios, on account of being a Christian, promises to serve a certain Nicola Picaluga for 5 years in return for the ransom he paid for her freedom.",,,,female,1486,,,,,,,"Giovanni Battista Parisola, filza 6, series I, nr. 126",1486-05-19,1486,"The Greek slave Elena, who is --- years of age, having been declared free by a certain Girolamo de Camulio, the bishop of Chios, on account of being a Christian, promises to serve a certain Nicola Picaluga for 5 years in return for the ransom he paid for her freedom.","Parisola, Giovanni Battista",,,Notai antichi 956,,,,,,Promissio franchixie,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Sindacatori declare the Greek slave Anna, who is --- years of age, to be free. The date is approximate.",,,,,1479,,,"The Sindacatori declare the Greek slave Anna, who is --- years of age, to be free. The date is approximate.",,,,female,1479,,,,,,,"Girolamo Loggia, filza 2, series I, nr. 94 *",1479-05-20,1479,"The Sindacatori declare the Greek slave Anna, who is --- years of age, to be free. The date is approximate.","Loggia, Girolamo",,,Notai antichi 1122,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Sindacatori declare the Greek slave Teodora, who is --- years of age, to be free. The date is approximate.",,,,,1479,,,"The Sindacatori declare the Greek slave Teodora, who is --- years of age, to be free. The date is approximate.",,,,female,1479,,,,,,,"Girolamo Loggia, filza 2, series I, nr. 95 *",1479-05-20,1479,"The Sindacatori declare the Greek slave Teodora, who is --- years of age, to be free. The date is approximate.","Loggia, Girolamo",,,Notai antichi 1122,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,,,
