old_id,resource_id,tileid,nodegroup,Unnamed: 4
,,,dhim_1_dhif_2_has_parent  (n),
23071,982472cc-4af6-425d-8b4e-600c13312ee9,,,[{'resourceId': 'd6aeca3a-04e0-4771-95aa-930b02b1d9dc'}]
23072,d6aeca3a-04e0-4771-95aa-930b02b1d9dc,,,
23073,9dbc2e65-6dd3-4a6f-af56-4c9f82966fd3,,,
23074,3fe160f7-90ad-462d-8a01-679ef876c0e3,,,[{'resourceId': '9dbc2e65-6dd3-4a6f-af56-4c9f82966fd3'}]
23075,71760824-7560-4f3a-83db-ba5a00c2ce89,,,[{'resourceId': '016628e8-60c6-4679-8c29-68823566e8cf'}]
23076,016628e8-60c6-4679-8c29-68823566e8cf,,,
23077,f09fd712-902d-4850-a253-3d5f2b003a95,,,
23078,793b2b66-4cf5-402c-889b-ff233bb6d546,,,[{'resourceId': 'f09fd712-902d-4850-a253-3d5f2b003a95'}]
23079,898855ec-9c58-4b5d-8342-4636f2e3c53f,,,
23080,5732559b-b61e-4224-9ba1-3047b719573c,,,
23081,fb3f55ac-052d-4ccd-b536-1577b5f46075,,,[{'resourceId': '5732559b-b61e-4224-9ba1-3047b719573c'}]
23082,9ce1301a-a286-4124-a7da-3214476deb06,,,
23083,c9d11660-9fc8-4c28-b1b8-d4613650f36f,,,[{'resourceId': '9ce1301a-a286-4124-a7da-3214476deb06'}]
23084,6b069911-6c1a-4f45-b1e9-fe8d3df5c4ba,,,
23085,88d229a1-97e9-4e47-b698-235ea92fd8d3,,,[{'resourceId': '6b069911-6c1a-4f45-b1e9-fe8d3df5c4ba'}]
23086,e0e125d2-f04f-40c9-97dd-74c93390ab8a,,,
23089,0d906b2d-4578-4c6c-bdd8-97f49cf73d60,,,[{'resourceId': '87e8296b-aab1-4ddd-9887-d556af696d4a'}]
23090,87e8296b-aab1-4ddd-9887-d556af696d4a,,,
23092,bac3b170-437e-4d00-ac2d-6697367cb16e,,,[{'resourceId': '56200512-0aa5-4924-91e9-6b7d220635fd'}]
23093,56200512-0aa5-4924-91e9-6b7d220635fd,,,[{'resourceId': '9cf5fe25-b462-49d7-8df8-961c69a89bd4'}]
23093,56200512-0aa5-4924-91e9-6b7d220635fd,,,[{'resourceId': 'a2b3ccc7-4663-4e76-8ec7-bc59c769ab4e'}]
23094,8331d4c8-7096-4ee1-ae13-95f3c41d9b74,,,[{'resourceId': 'b9431f18-fc22-4fc0-a7a3-57effab46adf'}]
23095,9cf5fe25-b462-49d7-8df8-961c69a89bd4,,,
23096,a5816aba-0118-4cff-9630-cf30680e1234,,,[{'resourceId': '9cf5fe25-b462-49d7-8df8-961c69a89bd4'}]
23096,a5816aba-0118-4cff-9630-cf30680e1234,,,[{'resourceId': 'a2b3ccc7-4663-4e76-8ec7-bc59c769ab4e'}]
23097,be7dbb5d-c151-4253-9e9e-2b3a48f7c962,,,[{'resourceId': 'f1423284-1a9c-4b38-b950-4ef13a91852e'}]
23098,6ee16680-2bdf-40b2-9d5a-b0751ea56aa9,,,[{'resourceId': 'a5816aba-0118-4cff-9630-cf30680e1234'}]
23099,ae9e343b-54f8-418d-9ec9-bae0b3396918,,,[{'resourceId': '53c70939-10a9-4db7-a6c3-e982cf97af9e'}]
23100,b9431f18-fc22-4fc0-a7a3-57effab46adf,,,[{'resourceId': 'a5816aba-0118-4cff-9630-cf30680e1234'}]
23101,53c70939-10a9-4db7-a6c3-e982cf97af9e,,,[{'resourceId': 'a5816aba-0118-4cff-9630-cf30680e1234'}]
23102,f1423284-1a9c-4b38-b950-4ef13a91852e,,,[{'resourceId': '53c70939-10a9-4db7-a6c3-e982cf97af9e'}]
23103,b0170d3e-387f-49b5-9b8a-41e1073cbb89,,,
23104,5aa58604-3250-4275-abbc-8c241b190290,,,[{'resourceId': 'b0170d3e-387f-49b5-9b8a-41e1073cbb89'}]
23106,314c8177-969d-4d4e-bc09-4c3e2712f468,,,
23108,0dc956c6-b279-446b-97cc-8cf115f66343,,,
23109,adf741f3-89df-4728-881a-437e5d60a83b,,,[{'resourceId': '0dc956c6-b279-446b-97cc-8cf115f66343'}]
23110,7486e885-6e8d-4921-9790-e31ebb539cde,,,
23111,4317f2e8-1645-4ef5-a3af-3ec98b4bb7dd,,,[{'resourceId': '4e6bdd38-fc55-4183-adc9-3e59e46a1b78'}]
23112,4e6bdd38-fc55-4183-adc9-3e59e46a1b78,,,
23113,b65be120-8ef0-428c-b14d-ffa1d473bd4e,,,
23114,2d799c59-393b-45a4-9306-12dd8a9e3537,,,
23115,18125c40-754a-44ef-a29e-a98fa60d7e79,,,[{'resourceId': '2d799c59-393b-45a4-9306-12dd8a9e3537'}]
23116,e926f8e5-4e3c-406a-a6c3-b121bd573d63,,,[{'resourceId': '31759aca-e136-44ee-8ca2-3aaecca88363'}]
23118,bbb000b4-2dc0-4c2c-8bbc-13ac2334e893,,,
23119,83bdaff2-959b-4680-8384-b1ca5166c9c3,,,[{'resourceId': 'bbb000b4-2dc0-4c2c-8bbc-13ac2334e893'}]
23120,217ebc48-9198-4745-b7a6-8216be1a298a,,,
23121,bd07a964-a2cd-48a0-8401-f4a21ba7ac3e,,,[{'resourceId': 'bf6fb349-5e09-4b86-9f51-a505c9dbbf62'}]
23122,a067dbb7-bf13-4550-8cc0-be7f3e552647,,,
