Start date,End date,Name,Number,Note
14330101,* 14330422,Gabriel q. Simonis de Auria,1,
14330101,* 14340420,Baptista de Furnariis,2,
14330101,14341231,Lucas q. Ansaldi de Grimaldis,3,
14330101,* 14340420,Eligius Fatinanti,4,
14330101,* 14340727,Bartholomeus Gambonus,5,
14330101,14341231,Argonus Iustinianus,6,
14330101,14341231,Stefanus Lomelinus,7,
14330101,14341231,Alerame Salvaigus,8,
* 14330622,14341231,Obertus q. Iacobi de Auria,"1,1",S
* 14340420,14341231,Rafael de Cassina,"2,1",S
* 14340420,14341231,Bartholomeus de Franchis,"4,1",S
* 14340727,14341231,Edoardus de Prementorio,"5,1",S
,, ,,
14350101,14361231,Gaspar Cattaneus,1,
14350101,14361231,Paulus de Albario,2,
14350101,14361231,Cattaneus de Camilla,3,
14350101,14361231,Nicolaus de Columpnis Castanea,4,
14350101,14361231,Antonius de Guibertis,5,
14350101,14361231,Simon Matia,6,
14350101,14361231,Iohannes Scalia,7,
14350101,14361231,Paulus Spinula,8,
,, ,,
14370101,14381231,Nicolaus q. Dominici de Auria,1,
14370101,14381231,Petrus de Flisco,2,
14370101,14381231,Franciscus de Franchis Vignosus,3,
14370101,14381231,Petrus de Mari,4,
14370101,14381231,Iohannes de Odino,5,
14370101,* 14380130,Peregrus de Prementorio,6,
14370101,14381231,Iohannes Iustinianus de Campis,7,
14370101,14381231,Baptista q. Georgii Lomelinus,8,
* 14380423,14381231,Eduardus de Prementorio,"6,1",S
,, ,,
14390101,14401231,Marcus de Cassina,1,
14390101,14401231,Baptista de Furnariis,2,
14390101,14401231,Lucianus de Grimaldis,3,
14390101,14401231,Augustinus de Nigrono,4,
14390101,14401231,Martinus de Oliva,5,
14390101,14401231,Andalo Maruffus,6,
14390101,14401231,Raffael Squarsaficus,7,
14390101,14401231,Christoforus Tonsus,8,
,, ,,
14410101,14421231,Iohannes de Albario,1,
14410101,14421231,Lodisius de Franchis olim de Bulgaro,2,
14410101,* 14421209,Andreas de Marinis,3,
14410101,14421231,Gaspar Gentilis,4,
14410101,14421231,Thomas Iudex,5,
14410101,14421231,Simon Iustinianus,6,
14410101,14421231,Stephanus Lomelinus,7,
14410101,14421231,Salvagius Spinula,8,
* 14420423,14421207,Iohannes Ambrosius de Marinis,"3,1",S
,, ,,
14430101,14441231,Lamba de Auria,1,
14430101,14441231,Lucas de Grimaldis,2,
14430101,14441231,Petrus de Mari,3,
14430101,14441231,Lodisius de Nairono,4,
14430101,14441231,Octavianus de Vivaldis,5,
14430101,14441231,Iohannes Navonus,6,
